valueDate,vendorId,notes,organization,email,categoryName,vendorName,amount,currency
27-Nov-19,269845070,Service Fee,Ever Technologies,alish@ever.co,Service Fee,Upwork,-17.33,USD
27-Nov-19,269803821,Service Fee,Ever Technologies,alish@ever.co,Service Fee,Upwork,-18.75,USD
20-Nov-19,268602864,Service Fee,Ever Technologies,alish@ever.co,Service Fee,Upwork,-11,USD
20-Nov-19,268559648,Service Fee,Ever Technologies,alish@ever.co,Service Fee,Upwork,-23.33,USD
13-Nov-19,267365864,Service Fee,Ever Technologies,alish@ever.co,Service Fee,Upwork,-31.67,USD
13-Nov-19,267321236,Service Fee,Ever Technologies,alish@ever.co,Service Fee,Upwork,-30.83,USD
6-Nov-19,266124505,Service Fee,Ever Technologies,alish@ever.co,Service Fee,Upwork,-5,USD
6-Nov-19,266079152,Service Fee,Ever Technologies,alish@ever.co,Service Fee,Upwork,-43.33,USD
27-Nov-19,269700132,Service Fee,Ever Technologies,blagovest@ever.co,Service Fee,Upwork,-22.25,USD
20-Nov-19,268453499,Service Fee,Ever Technologies,blagovest@ever.co,Service Fee,Upwork,-21.88,USD
13-Nov-19,267214884,Service Fee,Ever Technologies,blagovest@ever.co,Service Fee,Upwork,-21.63,USD
6-Nov-19,265969146,Service Fee,Ever Technologies,blagovest@ever.co,Service Fee,Upwork,-22.13,USD
27-Nov-19,269700143,Service Fee,Ever Technologies,elvis@ever.co,Service Fee,Upwork,-34.67,USD
20-Nov-19,268453506,Service Fee,Ever Technologies,elvis@ever.co,Service Fee,Upwork,-26.17,USD
13-Nov-19,267214898,Service Fee,Ever Technologies,elvis@ever.co,Service Fee,Upwork,-33.17,USD
6-Nov-19,265969154,Service Fee,Ever Technologies,elvis@ever.co,Service Fee,Upwork,-20.17,USD
27-Nov-19,269838221,Service Fee,Ever Technologies,hristo@ever.co,Service Fee,Upwork,-28.5,USD
20-Nov-19,268596077,Service Fee,Ever Technologies,hristo@ever.co,Service Fee,Upwork,-28.13,USD
13-Nov-19,267358147,Service Fee,Ever Technologies,hristo@ever.co,Service Fee,Upwork,-30,USD
6-Nov-19,266118790,Service Fee,Ever Technologies,hristo@ever.co,Service Fee,Upwork,-28.63,USD
07-Nov-21,268265008,Service Fee,Ever Technologies,cmackin0@ever.co,Service Fee,Upwork,-51,USD
28-Dec-21,266259206,Service Fee,Ever Technologies,jskerrett1@ever.co,Service Fee,Upwork,-51,USD
07-Dec-21,267562291,Service Fee,Ever Technologies,krelph2@ever.co,Service Fee,Upwork,-7,USD
04-Dec-21,268140887,Service Fee,Ever Technologies,edollard3@ever.co,Service Fee,Upwork,-10,USD
20-Dec-21,267371904,Service Fee,Ever Technologies,patherton4@ever.co,Service Fee,Upwork,-17,USD
05-Jan-22,269452380,Service Fee,Ever Technologies,ameredyth5@ever.co,Service Fee,Upwork,-34,USD
06-Jan-22,267779133,Service Fee,Ever Technologies,psidney6@ever.co,Service Fee,Upwork,-76,USD
02-Jan-22,267353702,Service Fee,Ever Technologies,ldoogan7@ever.co,Service Fee,Upwork,-41,USD
17-Nov-21,269288018,Service Fee,Ever Technologies,vceller8@ever.co,Service Fee,Upwork,-76,USD
22-Dec-21,268680532,Service Fee,Ever Technologies,dmedford9@ever.co,Service Fee,Upwork,-49,USD
04-Nov-21,267669066,Service Fee,Ever Technologies,rleworthya@ever.co,Service Fee,Upwork,-23,USD
17-Jan-22,268629123,Service Fee,Ever Technologies,rmorab@ever.co,Service Fee,Upwork,-43,USD
13-Nov-21,268324539,Service Fee,Ever Technologies,mjarmync@ever.co,Service Fee,Upwork,-51,USD
13-Nov-21,269781051,Service Fee,Ever Technologies,rhumbied@ever.co,Service Fee,Upwork,-36,USD
17-Jan-22,266129527,Service Fee,Ever Technologies,bcurgenvene@ever.co,Service Fee,Upwork,-29,USD
01-Jan-22,267994811,Service Fee,Ever Technologies,wsherredf@ever.co,Service Fee,Upwork,-37,USD
08-Dec-21,269608987,Service Fee,Ever Technologies,bcraneg@ever.co,Service Fee,Upwork,-25,USD
09-Dec-21,268100365,Service Fee,Ever Technologies,bivkovich@ever.co,Service Fee,Upwork,-63,USD
06-Jan-22,269399257,Service Fee,Ever Technologies,diacovuccii@ever.co,Service Fee,Upwork,-5,USD
02-Dec-21,267994939,Service Fee,Ever Technologies,efaggej@ever.co,Service Fee,Upwork,-44,USD
30-Dec-21,269466451,Service Fee,Ever Technologies,mbaudonk@ever.co,Service Fee,Upwork,-33,USD
18-Jan-22,266187008,Service Fee,Ever Technologies,dvausel@ever.co,Service Fee,Upwork,-39,USD
26-Jan-22,266436572,Service Fee,Ever Technologies,ctattertonm@ever.co,Service Fee,Upwork,-27,USD
01-Nov-21,268046030,Service Fee,Ever Technologies,tsawkinsn@ever.co,Service Fee,Upwork,-38,USD
25-Jan-22,266307331,Service Fee,Ever Technologies,csnarieo@ever.co,Service Fee,Upwork,-82,USD
06-Dec-21,269309318,Service Fee,Ever Technologies,tmacquakerp@ever.co,Service Fee,Upwork,-22,USD
01-Dec-21,269825537,Service Fee,Ever Technologies,cprujeanq@ever.co,Service Fee,Upwork,-72,USD
31-Dec-21,267822606,Service Fee,Ever Technologies,rwilderr@ever.co,Service Fee,Upwork,-100,USD
14-Nov-21,268360161,Service Fee,Ever Technologies,ijanssons@ever.co,Service Fee,Upwork,-60,USD
19-Jan-22,269126094,Service Fee,Ever Technologies,mmccrearyt@ever.co,Service Fee,Upwork,-36,USD
27-Nov-21,267034501,Service Fee,Ever Technologies,efedorchenkou@ever.co,Service Fee,Upwork,-41,USD
26-Nov-21,269127726,Service Fee,Ever Technologies,cfirebracev@ever.co,Service Fee,Upwork,-42,USD
30-Nov-21,269668111,Service Fee,Ever Technologies,gcowlew@ever.co,Service Fee,Upwork,-21,USD
15-Jan-22,267243831,Service Fee,Ever Technologies,lzanottix@ever.co,Service Fee,Upwork,-25,USD
01-Dec-21,267573413,Service Fee,Ever Technologies,alilleymany@ever.co,Service Fee,Upwork,-92,USD
23-Jan-22,266357765,Service Fee,Ever Technologies,etolchardz@ever.co,Service Fee,Upwork,-10,USD
31-Oct-21,266298774,Service Fee,Ever Technologies,tsimmank10@ever.co,Service Fee,Upwork,-72,USD
23-Nov-21,269906858,Service Fee,Ever Technologies,rrees11@ever.co,Service Fee,Upwork,-38,USD
31-Dec-21,267739586,Service Fee,Ever Technologies,afink12@ever.co,Service Fee,Upwork,-34,USD
13-Dec-21,269481307,Service Fee,Ever Technologies,udecaze13@ever.co,Service Fee,Upwork,-78,USD
24-Nov-21,266583564,Service Fee,Ever Technologies,cjedrzejczak14@ever.co,Service Fee,Upwork,-69,USD
19-Dec-21,267017559,Service Fee,Ever Technologies,wcoulling15@ever.co,Service Fee,Upwork,-20,USD
17-Dec-21,269729578,Service Fee,Ever Technologies,olearman16@ever.co,Service Fee,Upwork,-39,USD
23-Nov-21,267029796,Service Fee,Ever Technologies,asimonou17@ever.co,Service Fee,Upwork,-52,USD
16-Nov-21,266314519,Service Fee,Ever Technologies,ckyrkeman18@ever.co,Service Fee,Upwork,-77,USD
20-Nov-21,269479394,Service Fee,Ever Technologies,lblasli19@ever.co,Service Fee,Upwork,-96,USD
24-Jan-22,267810734,Service Fee,Ever Technologies,kspedroni1a@ever.co,Service Fee,Upwork,-70,USD
09-Nov-21,266715826,Service Fee,Ever Technologies,fblinckhorne1b@ever.co,Service Fee,Upwork,-96,USD
13-Jan-22,268446122,Service Fee,Ever Technologies,preddecliffe1c@ever.co,Service Fee,Upwork,-17,USD
26-Nov-21,269498883,Service Fee,Ever Technologies,mtalby1d@ever.co,Service Fee,Upwork,-67,USD
23-Jan-22,266723819,Service Fee,Ever Technologies,kbeedell1e@ever.co,Service Fee,Upwork,-87,USD
25-Jan-22,268858987,Service Fee,Ever Technologies,lfiggess1f@ever.co,Service Fee,Upwork,-75,USD
01-Nov-21,267962565,Service Fee,Ever Technologies,dsivyour1g@ever.co,Service Fee,Upwork,-99,USD
23-Jan-22,269438080,Service Fee,Ever Technologies,cmccarrell1h@ever.co,Service Fee,Upwork,-92,USD
25-Nov-21,268593696,Service Fee,Ever Technologies,dtaft1i@ever.co,Service Fee,Upwork,-1,USD
14-Jan-22,267619351,Service Fee,Ever Technologies,ldeller1j@ever.co,Service Fee,Upwork,-96,USD
17-Jan-22,269145038,Service Fee,Ever Technologies,aculley1k@ever.co,Service Fee,Upwork,-11,USD
03-Nov-21,267212318,Service Fee,Ever Technologies,mdaldry1l@ever.co,Service Fee,Upwork,-76,USD
01-Nov-21,267524767,Service Fee,Ever Technologies,tmackeig1m@ever.co,Service Fee,Upwork,-77,USD
28-Nov-21,268821677,Service Fee,Ever Technologies,zsteere1n@ever.co,Service Fee,Upwork,-24,USD
21-Nov-21,268967030,Service Fee,Ever Technologies,sbramble1o@ever.co,Service Fee,Upwork,-99,USD
01-Jan-22,268757646,Service Fee,Ever Technologies,tdoolan1p@ever.co,Service Fee,Upwork,-83,USD
11-Jan-22,266337088,Service Fee,Ever Technologies,kcheal1q@ever.co,Service Fee,Upwork,-5,USD
26-Dec-21,267268992,Service Fee,Ever Technologies,boffill1r@ever.co,Service Fee,Upwork,-76,USD
31-Dec-21,267374023,Service Fee,Ever Technologies,pgounin1s@ever.co,Service Fee,Upwork,-41,USD
31-Dec-21,269620862,Service Fee,Ever Technologies,rlineen1t@ever.co,Service Fee,Upwork,-80,USD
25-Nov-21,269702660,Service Fee,Ever Technologies,bgianinotti1u@ever.co,Service Fee,Upwork,-12,USD
31-Oct-21,269335428,Service Fee,Ever Technologies,lchalfont1v@ever.co,Service Fee,Upwork,-5,USD
28-Oct-21,269434437,Service Fee,Ever Technologies,browth1w@ever.co,Service Fee,Upwork,-39,USD
17-Jan-22,268166279,Service Fee,Ever Technologies,jvellacott1x@ever.co,Service Fee,Upwork,-61,USD
06-Nov-21,269051108,Service Fee,Ever Technologies,ipappi1y@ever.co,Service Fee,Upwork,-67,USD
27-Oct-21,266589712,Service Fee,Ever Technologies,cpettegree1z@ever.co,Service Fee,Upwork,-88,USD
09-Nov-21,269376200,Service Fee,Ever Technologies,oridges20@ever.co,Service Fee,Upwork,-50,USD
20-Dec-21,266894493,Service Fee,Ever Technologies,nfloyd21@ever.co,Service Fee,Upwork,-59,USD
12-Dec-21,269624014,Service Fee,Ever Technologies,adinley22@ever.co,Service Fee,Upwork,-3,USD
26-Dec-21,268709830,Service Fee,Ever Technologies,vdelph23@ever.co,Service Fee,Upwork,-85,USD
24-Nov-21,266722869,Service Fee,Ever Technologies,othompson24@ever.co,Service Fee,Upwork,-97,USD
29-Nov-21,269484383,Service Fee,Ever Technologies,jlevett25@ever.co,Service Fee,Upwork,-16,USD
29-Oct-21,269579520,Service Fee,Ever Technologies,lboig26@ever.co,Service Fee,Upwork,-48,USD
27-Dec-21,266458364,Service Fee,Ever Technologies,abriscam27@ever.co,Service Fee,Upwork,-48,USD
26-Jan-22,267155546,Service Fee,Ever Technologies,jpymar28@ever.co,Service Fee,Upwork,-98,USD
08-Jan-22,269069997,Service Fee,Ever Technologies,lskegg29@ever.co,Service Fee,Upwork,-67,USD
20-Jan-22,267587865,Service Fee,Ever Technologies,ytommaseo2a@ever.co,Service Fee,Upwork,-4,USD
18-Nov-21,268412051,Service Fee,Ever Technologies,cdowty2b@ever.co,Service Fee,Upwork,-79,USD
05-Dec-21,268853242,Service Fee,Ever Technologies,jbennett2c@ever.co,Service Fee,Upwork,-28,USD
13-Dec-21,269059589,Service Fee,Ever Technologies,cdaymont2d@ever.co,Service Fee,Upwork,-74,USD
07-Jan-22,268530473,Service Fee,Ever Technologies,mbandey2e@ever.co,Service Fee,Upwork,-79,USD
18-Dec-21,267614092,Service Fee,Ever Technologies,cmcelhinney2f@ever.co,Service Fee,Upwork,-18,USD
03-Nov-21,268293114,Service Fee,Ever Technologies,gtriswell2g@ever.co,Service Fee,Upwork,-25,USD
12-Nov-21,267747800,Service Fee,Ever Technologies,rmcwhinnie2h@ever.co,Service Fee,Upwork,-34,USD
25-Jan-22,269781021,Service Fee,Ever Technologies,belcomb2i@ever.co,Service Fee,Upwork,-63,USD
29-Dec-21,269087459,Service Fee,Ever Technologies,adrake2j@ever.co,Service Fee,Upwork,-19,USD
15-Nov-21,269509157,Service Fee,Ever Technologies,crushbrook2k@ever.co,Service Fee,Upwork,-92,USD
29-Dec-21,267914262,Service Fee,Ever Technologies,bmoring2l@ever.co,Service Fee,Upwork,-54,USD
19-Dec-21,266278800,Service Fee,Ever Technologies,efairlaw2m@ever.co,Service Fee,Upwork,-32,USD
31-Dec-21,269396126,Service Fee,Ever Technologies,lweigh2n@ever.co,Service Fee,Upwork,-86,USD
26-Nov-21,268257486,Service Fee,Ever Technologies,bphython2o@ever.co,Service Fee,Upwork,-64,USD
24-Dec-21,266644300,Service Fee,Ever Technologies,epilmore2p@ever.co,Service Fee,Upwork,-74,USD
24-Dec-21,266605947,Service Fee,Ever Technologies,dthumim2q@ever.co,Service Fee,Upwork,-57,USD
09-Nov-21,269232422,Service Fee,Ever Technologies,lhully2r@ever.co,Service Fee,Upwork,-63,USD
10-Dec-21,268736898,Service Fee,Ever Technologies,kgibbonson2s@ever.co,Service Fee,Upwork,-85,USD
15-Nov-21,266199542,Service Fee,Ever Technologies,byockney2t@ever.co,Service Fee,Upwork,-91,USD
28-Dec-21,267469575,Service Fee,Ever Technologies,hbarkworth2u@ever.co,Service Fee,Upwork,-78,USD
15-Nov-21,266649525,Service Fee,Ever Technologies,sjekyll2v@ever.co,Service Fee,Upwork,-64,USD
30-Dec-21,269034778,Service Fee,Ever Technologies,rhall2w@ever.co,Service Fee,Upwork,-83,USD
23-Dec-21,269420491,Service Fee,Ever Technologies,tfrediani2x@ever.co,Service Fee,Upwork,-18,USD
19-Dec-21,267777561,Service Fee,Ever Technologies,croaf2y@ever.co,Service Fee,Upwork,-99,USD
10-Dec-21,268942359,Service Fee,Ever Technologies,omacdearmid2z@ever.co,Service Fee,Upwork,-61,USD
13-Nov-21,269220455,Service Fee,Ever Technologies,sgooderham30@ever.co,Service Fee,Upwork,-23,USD
21-Dec-21,268587041,Service Fee,Ever Technologies,hnavaro31@ever.co,Service Fee,Upwork,-35,USD
18-Jan-22,268088632,Service Fee,Ever Technologies,leyckelbeck32@ever.co,Service Fee,Upwork,-38,USD
10-Nov-21,269171288,Service Fee,Ever Technologies,jdegiorgis33@ever.co,Service Fee,Upwork,-82,USD
19-Dec-21,269707079,Service Fee,Ever Technologies,clount34@ever.co,Service Fee,Upwork,-90,USD
