valueDate,notes,organization,email,clientName,amount,currency
27-Nov-19,Job Done,Ever Technologies LTD,alish@ever.co,CC,173.33,USD
27-Nov-19,Job Done,Ever Technologies LTD,alish@ever.co,NA,375,USD
20-Nov-19,Job Done,Ever Technologies LTD,alish@ever.co,CC,110,USD
20-Nov-19,Job Done,Ever Technologies LTD,alish@ever.co,NA,466.67,USD
13-Nov-19,Job Done,Ever Technologies LTD,alish@ever.co,CC,316.67,USD
13-Nov-19,Job Done,Ever Technologies LTD,alish@ever.co,NA,616.67,USD
6-Nov-19,Job Done,Ever Technologies LTD,alish@ever.co,CC,50,USD
6-Nov-19,Job Done,Ever Technologies LTD,alish@ever.co,NA,866.67,USD
27-Nov-19,Job Done,Ever Technologies LTD,alish@ever.co,LZ,445,USD
20-Nov-19,Job Done,Ever Technologies LTD,blagovest@ever.co,LZ,437.5,USD
13-Nov-19,Job Done,Ever Technologies LTD,blagovest@ever.co,LZ,432.5,USD
6-Nov-19,Job Done,Ever Technologies LTD,blagovest@ever.co,LZ,442.5,USD
27-Nov-19,Job Done,Ever Technologies LTD,elvis@ever.co,LZ,693.33,USD
20-Nov-19,Job Done,Ever Technologies LTD,elvis@ever.co,LZ,523.33,USD
13-Nov-19,Job Done,Ever Technologies LTD,elvis@ever.co,LZ,663.33,USD
6-Nov-19,Job Done,Ever Technologies LTD,elvis@ever.co,LZ,403.33,USD
27-Nov-19,Job Done,Ever Technologies LTD,hristo@ever.co,NA,570,USD
20-Nov-19,Job Done,Ever Technologies LTD,hristo@ever.co,NA,562.5,USD
13-Nov-19,Job Done,Ever Technologies LTD,hristo@ever.co,NA,600,USD
6-Nov-19,Job Done,Ever Technologies LTD,hristo@ever.co,NA,572.5,USD
29-Oct-21,Job Done,Ever Technologies LTD,Erda@ever.co,ID,854,USD
04-Oct-21,Job Done,Ever Technologies LTD,Cecilio@ever.co,CL,255,USD
30-Oct-21,Job Done,Ever Technologies LTD,Herta@ever.co,AE,188,USD
02-Nov-21,Job Done,Ever Technologies LTD,Angil@ever.co,PL,437,USD
28-Sep-21,Job Done,Ever Technologies LTD,Lynnett@ever.co,ID,198,USD
25-Jan-22,Job Done,Ever Technologies LTD,Ofella@ever.co,PH,447,USD
24-Nov-21,Job Done,Ever Technologies LTD,Ryan@ever.co,FI,930,USD
05-Oct-21,Job Done,Ever Technologies LTD,Jay@ever.co,CN,875,USD
01-Oct-21,Job Done,Ever Technologies LTD,Juliana@ever.co,NZ,262,USD
26-Jan-22,Job Done,Ever Technologies LTD,Lyndell@ever.co,ID,107,USD
24-Jan-22,Job Done,Ever Technologies LTD,Hyacinthe@ever.co,ID,504,USD
26-Nov-21,Job Done,Ever Technologies LTD,Leicester@ever.co,ID,935,USD
15-Oct-21,Job Done,Ever Technologies LTD,Emelita@ever.co,UA,417,USD
30-Nov-21,Job Done,Ever Technologies LTD,Godiva@ever.co,BR,959,USD
14-Jan-22,Job Done,Ever Technologies LTD,Ellerey@ever.co,UA,960,USD
20-Jan-22,Job Done,Ever Technologies LTD,Claribel@ever.co,JP,291,USD
07-Dec-21,Job Done,Ever Technologies LTD,Nefen@ever.co,BR,662,USD
05-Nov-21,Job Done,Ever Technologies LTD,Julieta@ever.co,PT,872,USD
01-Nov-21,Job Done,Ever Technologies LTD,Darrell@ever.co,PH,338,USD
11-Nov-21,Job Done,Ever Technologies LTD,Durward@ever.co,ID,274,USD
23-Nov-21,Job Done,Ever Technologies LTD,Kelcey@ever.co,TH,492,USD
02-Nov-21,Job Done,Ever Technologies LTD,Colan@ever.co,PL,747,USD
20-Oct-21,Job Done,Ever Technologies LTD,Catherina@ever.co,ID,441,USD
24-Dec-21,Job Done,Ever Technologies LTD,Edward@ever.co,CN,763,USD
08-Jan-22,Job Done,Ever Technologies LTD,Quinlan@ever.co,CN,388,USD
31-Dec-21,Job Done,Ever Technologies LTD,Casandra@ever.co,CO,429,USD
25-Dec-21,Job Done,Ever Technologies LTD,Oralee@ever.co,BA,338,USD
21-Jan-22,Job Done,Ever Technologies LTD,Celestine@ever.co,BR,564,USD
27-Sep-21,Job Done,Ever Technologies LTD,Kalinda@ever.co,ID,640,USD
26-Nov-21,Job Done,Ever Technologies LTD,Belva@ever.co,RU,862,USD
20-Dec-21,Job Done,Ever Technologies LTD,Farlay@ever.co,RU,499,USD
22-Oct-21,Job Done,Ever Technologies LTD,Forest@ever.co,PH,467,USD
04-Oct-21,Job Done,Ever Technologies LTD,Latrena@ever.co,FI,125,USD
02-Nov-21,Job Done,Ever Technologies LTD,Georgie@ever.co,ID,825,USD
07-Oct-21,Job Done,Ever Technologies LTD,Lombard@ever.co,SE,736,USD
15-Dec-21,Job Done,Ever Technologies LTD,Ola@ever.co,FI,881,USD
12-Nov-21,Job Done,Ever Technologies LTD,Hermann@ever.co,BR,450,USD
09-Jan-22,Job Done,Ever Technologies LTD,Helaina@ever.co,PH,193,USD
03-Jan-22,Job Done,Ever Technologies LTD,Kary@ever.co,CN,759,USD
11-Oct-21,Job Done,Ever Technologies LTD,Malvin@ever.co,CN,442,USD
29-Dec-21,Job Done,Ever Technologies LTD,Silvio@ever.co,CA,698,USD
31-Oct-21,Job Done,Ever Technologies LTD,Daile@ever.co,JP,394,USD
11-Jan-22,Job Done,Ever Technologies LTD,Estell@ever.co,PT,868,USD
02-Nov-21,Job Done,Ever Technologies LTD,Beverie@ever.co,ID,761,USD
17-Jan-22,Job Done,Ever Technologies LTD,Damian@ever.co,ID,250,USD
06-Nov-21,Job Done,Ever Technologies LTD,Fredrick@ever.co,LA,887,USD
18-Oct-21,Job Done,Ever Technologies LTD,Kesley@ever.co,CN,599,USD
14-Nov-21,Job Done,Ever Technologies LTD,Humfrey@ever.co,JM,696,USD
02-Nov-21,Job Done,Ever Technologies LTD,Ranee@ever.co,CN,206,USD
02-Dec-21,Job Done,Ever Technologies LTD,Milena@ever.co,CN,616,USD
11-Dec-21,Job Done,Ever Technologies LTD,Stacee@ever.co,ID,480,USD
26-Oct-21,Job Done,Ever Technologies LTD,Gil@ever.co,CN,656,USD
06-Dec-21,Job Done,Ever Technologies LTD,Currey@ever.co,SE,132,USD
