valueDate,notes,organization,email,clientName,amount,currency
27-Nov-19,Job Done,DSpot sp. z o.o.,alish@dspot.com.pl,CC,173.33,USD
27-Nov-19,Job Done,DSpot sp. z o.o.,alish@dspot.com.pl,NA,375,USD
20-Nov-19,Job Done,DSpot sp. z o.o.,alish@dspot.com.pl,CC,110,USD
20-Nov-19,Job Done,DSpot sp. z o.o.,alish@dspot.com.pl,NA,466.67,USD
13-Nov-19,Job Done,DSpot sp. z o.o.,alish@dspot.com.pl,CC,316.67,USD
13-Nov-19,Job Done,DSpot sp. z o.o.,alish@dspot.com.pl,NA,616.67,USD
6-Nov-19,Job Done,DSpot sp. z o.o.,alish@dspot.com.pl,CC,50,USD
6-Nov-19,Job Done,DSpot sp. z o.o.,alish@dspot.com.pl,NA,866.67,USD
27-Nov-19,Job Done,DSpot sp. z o.o.,alish@dspot.com.pl,LZ,445,USD
20-Nov-19,Job Done,DSpot sp. z o.o.,ruslan@dspot.com.pl,LZ,437.5,USD
13-Nov-19,Job Done,DSpot sp. z o.o.,ruslan@dspot.com.pl,LZ,432.5,USD
6-Nov-19,Job Done,DSpot sp. z o.o.,ruslan@dspot.com.pl,LZ,442.5,USD
27-Nov-19,Job Done,DSpot sp. z o.o.,elvis@dspot.com.pl,LZ,693.33,USD
20-Nov-19,Job Done,DSpot sp. z o.o.,elvis@dspot.com.pl,LZ,523.33,USD
13-Nov-19,Job Done,DSpot sp. z o.o.,elvis@dspot.com.pl,LZ,663.33,USD
6-Nov-19,Job Done,DSpot sp. z o.o.,elvis@dspot.com.pl,LZ,403.33,USD
27-Nov-19,Job Done,DSpot sp. z o.o.,hristo@dspot.com.pl,NA,570,USD
20-Nov-19,Job Done,DSpot sp. z o.o.,hristo@dspot.com.pl,NA,562.5,USD
13-Nov-19,Job Done,DSpot sp. z o.o.,hristo@dspot.com.pl,NA,600,USD
6-Nov-19,Job Done,DSpot sp. z o.o.,hristo@dspot.com.pl,NA,572.5,USD
29-Oct-21,Job Done,DSpot sp. z o.o.,alish@dspot.com.pl,ID,854,USD
04-Oct-21,Job Done,DSpot sp. z o.o.,alish@dspot.com.pl,CL,255,USD
30-Oct-21,Job Done,DSpot sp. z o.o.,alish@dspot.com.pl,AE,188,USD
02-Nov-21,Job Done,DSpot sp. z o.o.,alish@dspot.com.pl,PL,437,USD
28-Sep-21,Job Done,DSpot sp. z o.o.,alish@dspot.com.pl,ID,198,USD
25-Jan-22,Job Done,DSpot sp. z o.o.,alish@dspot.com.pl,PH,447,USD
24-Nov-21,Job Done,DSpot sp. z o.o.,alish@dspot.com.pl,FI,930,USD
05-Oct-21,Job Done,DSpot sp. z o.o.,alish@dspot.com.pl,CN,875,USD
01-Oct-21,Job Done,DSpot sp. z o.o.,alish@dspot.com.pl,NZ,262,USD
26-Jan-22,Job Done,DSpot sp. z o.o.,alish@dspot.com.pl,ID,107,USD
24-Jan-22,Job Done,DSpot sp. z o.o.,alish@dspot.com.pl,ID,504,USD
26-Nov-21,Job Done,DSpot sp. z o.o.,alish@dspot.com.pl,ID,935,USD
15-Oct-21,Job Done,DSpot sp. z o.o.,alish@dspot.com.pl,UA,417,USD
30-Nov-21,Job Done,DSpot sp. z o.o.,alish@dspot.com.pl,BR,959,USD
14-Jan-22,Job Done,DSpot sp. z o.o.,alish@dspot.com.pl,UA,960,USD
